"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"US000","0","10","10","0","2019","1","",10106053,145328097,145941645,146553073,2245179277103,930583095888,18278823071,1183,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",209954,2.1,2438879,1.7,2116067,1.5,2021155,1.4,93105706977,4.3,33067402857,3.7,-607280324,-3.2,31,2.7
"US000","1","10","11","0","2019","1","",59783,2781784,2795690,2793868,55393434132,0,0,1527,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",740,1.3,-1396,-0.1,21383,0.8,20674,0.7,-789660930,-1.4,0,0.0,0,0.0,-29,-1.9
"US000","1","101","12","0","2019","1","",127,52238,52501,52816,1017331060,0,0,1490,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",10,8.5,2369,4.8,2674,5.4,2929,5.9,41546315,4.3,0,0.0,0,0.0,-15,-1.0
"US000","1","1011","13","0","2019","1","",78,2824,2939,2969,46671517,0,0,1233,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",8,11.4,423,17.6,547,22.9,528,21.6,3652071,8.5,0,0.0,0,0.0,-139,-10.1
"US000","1","1012","13","0","2019","1","",2,8,8,8,131956,0,0,1269,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1,100.0,3,60.0,3,60.0,3,60.0,23703,21.9,0,0.0,0,0.0,-396,-23.8
"US000","1","1013","13","0","2019","1","",47,49406,49554,49839,970527587,0,0,1505,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1,2.2,1943,4.1,2124,4.5,2398,5.1,37870541,4.1,0,0.0,0,0.0,-7,-0.5
"US000","1","102","12","0","2019","1","",59656,2729546,2743189,2741052,54376103072,0,0,1528,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",730,1.2,-3765,-0.1,18709,0.7,17745,0.7,-831207245,-1.5,0,0.0,0,0.0,-29,-1.9
"US000","1","1021","13","0","2019","1","",30136,672144,673552,674298,9890049536,0,0,1130,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",241,0.8,-10506,-1.5,-2943,-0.4,-1159,-0.2,126639028,1.3,0,0.0,0,0.0,23,2.1
"US000","1","1022","13","0","2019","1","",125,6557,6531,6528,122863301,0,0,1445,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1,0.8,30,0.5,23,0.4,-5,-0.1,-15107531,-10.9,0,0.0,0,0.0,-182,-11.2
"US000","1","1023","13","0","2019","1","",791,12092,12025,12052,336530151,0,0,2147,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-6,-0.8,-564,-4.5,-497,-4.0,-428,-3.4,-58050649,-14.7,0,0.0,0,0.0,-271,-11.2
"US000","1","1024","13","0","2019","1","",1459,66390,66307,66468,1499997280,0,0,1738,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1,0.1,1465,2.3,1463,2.3,1477,2.3,73729264,5.2,0,0.0,0,0.0,48,2.8
"US000","1","1025","13","0","2019","1","",1361,418445,419871,420816,8180490929,0,0,1499,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-13,-0.9,6621,1.6,7233,1.8,7637,1.8,374127126,4.8,0,0.0,0,0.0,43,3.0
"US000","1","1026","13","0","2019","1","",1520,44564,45135,45441,548753762,0,0,937,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-16,-1.0,-659,-1.5,-526,-1.2,-689,-1.5,-25627971,-4.5,0,0.0,0,0.0,-30,-3.1
"US000","1","1027","13","0","2019","1","",165,4584,4606,4597,59582210,0,0,997,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-1,-0.6,66,1.5,40,0.9,50,1.1,1753368,3.0,0,0.0,0,0.0,18,1.8
"US000","1","1028","13","0","2019","1","",24094,1504767,1515159,1510849,33737732365,0,0,1718,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",525,2.2,-216,0.0,13918,0.9,10864,0.7,-1308657927,-3.7,0,0.0,0,0.0,-77,-4.3
"US000","1","1029","13","0","2019","1","",5,3,3,3,103538,0,0,2655,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-2,-28.6,-2,-40.0,-2,-40.0,-2,-40.0,-11953,-10.3,0,0.0,0,0.0,878,49.4
"US000","1","11","14","0","2019","1","",78,2824,2939,2969,46671517,0,0,1233,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",8,11.4,423,17.6,547,22.9,528,21.6,3652071,8.5,0,0.0,0,0.0,-139,-10.1
"US000","1","112","15","0","2019","1","",2,20,20,20,318357,0,0,1224,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,4,25.0,5,33.3,4,25.0,45065,16.5,0,0.0,0,0.0,-118,-8.8
"US000","1","1125","16","0","2019","1","",2,20,20,20,318357,0,0,1224,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,4,25.0,5,33.3,4,25.0,45065,16.5,0,0.0,0,0.0,-118,-8.8
"US000","1","11251","17","0","2019","1","",2,20,20,20,318357,0,0,1224,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,4,25.0,5,33.3,4,25.0,45065,16.5,0,0.0,0,0.0,-118,-8.8
"US000","1","112511","18","0","2019","1","",2,20,20,20,318357,0,0,1224,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,4,25.0,5,33.3,4,25.0,45065,16.5,0,0.0,0,0.0,-118,-8.8
"US000","1","113","15","0","2019","1","",75,2795,2908,2938,46304810,0,0,1237,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",8,11.9,419,17.6,540,22.8,523,21.7,3600348,8.4,0,0.0,0,0.0,-140,-10.2
"US000","1","1131","16","0","2019","1","",75,2795,2908,2938,46304810,0,0,1237,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",8,11.9,419,17.6,540,22.8,523,21.7,3600348,8.4,0,0.0,0,0.0,-140,-10.2
"US000","1","11311","17","0","2019","1","",75,2795,2908,2938,46304810,0,0,1237,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",8,11.9,419,17.6,540,22.8,523,21.7,3600348,8.4,0,0.0,0,0.0,-140,-10.2
"US000","1","113110","18","0","2019","1","",75,2795,2908,2938,46304810,0,0,1237,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",8,11.9,419,17.6,540,22.8,523,21.7,3600348,8.4,0,0.0,0,0.0,-140,-10.2
"US000","1","114","15","0","2019","1","",1,9,11,11,48350,0,0,360,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,0,0.0,2,22.2,1,10.0,6658,16.0,0,0.0,0,0.0,16,4.7
"US000","1","1142","16","0","2019","1","",1,9,11,11,48350,0,0,360,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,0,0.0,2,22.2,1,10.0,6658,16.0,0,0.0,0,0.0,16,4.7
"US000","1","11421","17","0","2019","1","",1,9,11,11,48350,0,0,360,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,0,0.0,2,22.2,1,10.0,6658,16.0,0,0.0,0,0.0,16,4.7
"US000","1","114210","18","0","2019","1","",1,9,11,11,48350,0,0,360,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,0,0.0,2,22.2,1,10.0,6658,16.0,0,0.0,0,0.0,16,4.7
"US000","1","22","14","0","2019","1","",156,11415,11436,11464,322352054,0,0,2168,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-2,-1.3,-119,-1.0,-34,-0.3,-8,-0.1,-8729313,-2.6,0,0.0,0,0.0,-48,-2.2
"US000","1","221","15","0","2019","1","",156,11415,11436,11464,322352054,0,0,2168,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-2,-1.3,-119,-1.0,-34,-0.3,-8,-0.1,-8729313,-2.6,0,0.0,0,0.0,-48,-2.2
